location,skill,count
"Abbeville, LA",customer service,3
"Abbeville, LA",education,1
"Abbeville, LA",human resources,4
"Abbeville, LA",legal,1
"Abbeville, LA",management,2
"Abbeville, LA",other,5
"Abbeville, LA",sales,3
"Abbeville, LA",training,5
"Abbeville, SC",customer service,1
"Abbeville, SC",education,1
"Abbeville, SC",management,1
"Abbeville, SC",other,1
"Abbotsford, WI",other,1
"Abbotsford, WI",training,1
"Abbott, TX",design,1
"Abbott, TX",education,1
"Abbott, TX",management,1
"Abbott, TX",manufacturing,1
"Abbott, TX",other,1
"Abbott, TX",science,1
"Aberdeen Proving Ground, MD",administrative,1
"Aberdeen Proving Ground, MD",analyst,1
"Aberdeen Proving Ground, MD",consulting,1
"Aberdeen Proving Ground, MD",customer service,2
"Aberdeen Proving Ground, MD",design,6
"Aberdeen Proving Ground, MD",distribution,1
"Aberdeen Proving Ground, MD",education,8
"Aberdeen Proving Ground, MD",engineering,3
"Aberdeen Proving Ground, MD",information technology,4
"Aberdeen Proving Ground, MD",legal,1
"Aberdeen Proving Ground, MD",management,9
"Aberdeen Proving Ground, MD",other,9
"Aberdeen Proving Ground, MD",production,1
"Aberdeen Proving Ground, MD",project management,1
"Aberdeen Proving Ground, MD",research,4
"Aberdeen Proving Ground, MD",science,5
"Aberdeen Proving Ground, MD",supply chain,1
"Aberdeen Proving Ground, MD",training,7
"Aberdeen, MD",analyst,1
"Aberdeen, MD",consulting,1
"Aberdeen, MD",customer service,4
"Aberdeen, MD",design,2
"Aberdeen, MD",distribution,1
"Aberdeen, MD",education,1
"Aberdeen, MD",engineering,2
"Aberdeen, MD",information technology,2
"Aberdeen, MD",management,4
"Aberdeen, MD",manufacturing,1
"Aberdeen, MD",other,3
"Aberdeen, MD",research,3
"Aberdeen, MD",sales,2
"Aberdeen, MD",science,3
"Aberdeen, NC",design,1
"Aberdeen, NC",education,2
"Aberdeen, NC",engineering,1
"Aberdeen, NC",management,1
"Aberdeen, NC",other,2
"Aberdeen, NC",production,1
"Aberdeen, SD",customer service,2
"Aberdeen, SD",design,1
"Aberdeen, SD",education,1
"Aberdeen, SD",finance,1
"Aberdeen, SD",management,2
"Aberdeen, SD",manufacturing,1
"Aberdeen, SD",other,2
"Aberdeen, SD",sales,1
"Aberdeen, SD",training,2
"Aberdeen, WA",customer service,1
"Aberdeen, WA",other,1
"Abilene, KS",education,3
"Abilene, KS",management,3
"Abilene, KS",manufacturing,2
"Abilene, KS",other,3
"Abilene, KS",production,2
"Abilene, KS",training,3
"Abilene, TX",administrative,6
"Abilene, TX",consulting,6
"Abilene, TX",customer service,22
"Abilene, TX",design,5
"Abilene, TX",distribution,1
"Abilene, TX",education,19
"Abilene, TX",engineering,4
"Abilene, TX",finance,2
"Abilene, TX",general business,2
"Abilene, TX",legal,14
"Abilene, TX",management,22
"Abilene, TX",manufacturing,8
"Abilene, TX",marketing,4
"Abilene, TX",other,50
"Abilene, TX",production,10
"Abilene, TX",project management,1
